beat_idx,r_sample_100hz,qrson_sample_100hz,tpeak_sample_100hz,toff_sample_100hz,t_s,t_rel_peak_s,phase,rr_ms,qt_ms,tamp_mv,rr_ms_smooth,qt_ms_smooth,tamp_mv_smooth
0,66,63,100,106,0.664,-599.336,exercise,832,432,0.11069,824.34,425.9,0.16379
1,148,144,180,189,1.48,-598.52,exercise,816,448,0.17163,823.46,425.71,0.16543
2,230,227,263,271,2.302,-597.698,exercise,822,442,0.19199,823.32,426.2,0.16564
3,313,309,346,353,3.128,-596.872,exercise,826,436,0.14728,824.29,425.51,0.16477
4,396,393,429,434,3.96,-596.04,exercise,832,410,0.17433,824.49,424.78,0.16399
5,480,476,513,519,4.8,-595.2,exercise,840,430,0.14018,824.59,424.68,0.16489
6,562,559,596,603,5.624,-594.376,exercise,824,436,0.13988,825.76,425.22,0.16425
7,642,639,676,681,6.42,-593.58,exercise,796,422,0.10332,826.73,425.9,0.16179
8,720,717,753,759,7.204,-592.796,exercise,784,422,0.18858,827.02,425.17,0.1619
9,800,796,832,839,7.998,-592.002,exercise,794,424,0.12863,827.85,425.37,0.16154
10,880,876,911,918,8.796,-591.204,exercise,798,422,0.2097,828.54,425.17,0.16194
11,961,957,993,1001,9.61,-590.39,exercise,814,432,0.14092,829.32,425.56,0.16196
12,1044,1040,1076,1082,10.438,-589.562,exercise,828,418,0.21393,830.63,426.05,0.1622
13,1129,1126,1161,1167,11.29,-588.71,exercise,852,418,0.16192,831.02,426.49,0.16006
14,1215,1212,1250,1254,12.154,-587.846,exercise,864,418,0.14832,830.93,426.05,0.15909
15,1303,1300,1336,1342,13.032,-586.968,exercise,878,422,0.22294,831.22,425.8,0.15954
16,1385,1382,1419,1423,13.854,-586.146,exercise,822,408,0.10189,830.78,425.71,0.15914
17,1466,1462,1499,1504,14.658,-585.342,exercise,804,416,0.13672,829.22,425.85,0.15832
18,1547,1543,1579,1587,15.47,-584.53,exercise,812,438,0.17915,827.27,425.41,0.15712
19,1628,1625,1660,1667,16.282,-583.718,exercise,812,424,0.16136,825.71,425.41,0.15825
20,1712,1708,1744,1751,17.118,-582.882,exercise,836,430,0.15199,824.68,425.17,0.15753
21,1796,1793,1829,1835,17.964,-582.036,exercise,846,418,0.18627,823.95,424.83,0.15845
22,1882,1878,1914,1921,18.816,-581.184,exercise,852,430,0.15663,824.24,424.49,0.15859
23,1969,1965,2001,2007,19.686,-580.314,exercise,870,418,0.13254,825.27,423.76,0.15798
24,2055,2051,2087,2093,20.546,-579.454,exercise,860,420,0.16974,826.2,423.45,0.15825
25,2141,2138,2173,2180,21.414,-578.586,exercise,868,426,0.1836,825.96,424.25,0.15945
26,2230,2227,2263,2270,22.304,-577.696,exercise,890,432,0.18584,826.79,424.15,0.15887
27,2317,2314,2351,2357,23.174,-576.826,exercise,870,434,0.12673,826.99,423.55,0.16065
28,2401,2397,2434,2439,24.008,-575.992,exercise,834,414,0.16333,827.53,423.2,0.16013
29,2483,2480,2517,2521,24.832,-575.168,exercise,824,414,0.12121,828.06,422.85,0.15529
30,2563,2559,2595,2601,25.628,-574.372,exercise,796,420,0.17275,828.06,422.35,0.15552
31,2643,2639,2675,2683,26.426,-573.574,exercise,798,444,0.16618,827.43,422.05,0.15401
32,2724,2720,2757,2763,27.24,-572.76,exercise,814,430,0.16238,826.4,421.3,0.15518
33,2804,2801,2836,2844,28.042,-571.958,exercise,802,436,0.10224,825.23,421.05,0.15433
34,2884,2881,2916,2922,28.844,-571.156,exercise,802,412,0.16702,823.18,420.95,0.15325
35,2967,2963,2999,3005,29.666,-570.334,exercise,822,418,0.17474,820.45,421.05,0.15385
36,3048,3045,3081,3088,30.48,-569.52,exercise,814,434,0.1596,817.67,420.95,0.15366
37,3126,3123,3159,3166,31.262,-568.738,exercise,782,434,0.12912,816.31,421.8,0.15605
38,3204,3201,3237,3241,32.044,-567.956,exercise,782,404,0.14371,815.33,421.9,0.156
39,3284,3280,3316,3323,32.838,-567.162,exercise,794,430,0.16851,814.11,421.2,0.15518
40,3364,3361,3396,3402,33.644,-566.356,exercise,806,416,0.1611,813.23,420.8,0.15783
41,3445,3441,3477,3483,34.446,-565.554,exercise,802,418,0.14847,812.11,420.05,0.15856
42,3527,3524,3560,3567,35.274,-564.726,exercise,828,434,0.17734,811.14,419.8,0.15671
43,3614,3610,3646,3651,36.138,-563.862,exercise,864,412,0.16724,809.92,419.35,0.15521
